count;year;gender_event;gender_athlete;event;type;family_name_ok;given_name_ok;country;continent;country_career;athlete_ok;medal
1;1973;Women;Women;100m Freestyle;Individual;Ender;Kornelia;GDR;Europe;GDR;Kornelia Ender (GDR);Gold
2;1973;Women;Women;100m Freestyle;Individual;Babashoff;Shirley;USA;America;USA;Shirley Babashoff (USA);Silver
3;1973;Women;Women;100m Freestyle;Individual;Brigitha;Enith;NED;Europe;NED;Enith Brigitha (NED);Bronze
45;1973;Women;Women;200m Freestyle;Individual;Rothhammer;Keena;USA;America;USA;Keena Rothhammer (USA);Gold
46;1973;Women;Women;200m Freestyle;Individual;Babashoff;Shirley;USA;America;USA;Shirley Babashoff (USA);Silver
47;1973;Women;Women;200m Freestyle;Individual;Eife;Andrea;GDR;Europe;GDR;Andrea Eife (GDR);Bronze
87;1973;Women;Women;400m Freestyle;Individual;Greenwood;Heather;USA;America;USA;Heather Greenwood (USA);Gold
88;1973;Women;Women;400m Freestyle;Individual;Rothhammer;Keena;USA;America;USA;Keena Rothhammer (USA);Silver
89;1973;Women;Women;400m Freestyle;Individual;Calligaris;Novella;ITA;Europe;ITA;Novella Calligaris (ITA);Bronze
120;1973;Women;Women;800m Freestyle;Individual;Calligaris;Novella;ITA;Europe;ITA;Novella Calligaris (ITA);Gold
121;1973;Women;Women;800m Freestyle;Individual;Harshbarger;Jo;USA;America;USA;Jo Harshbarger (USA);Silver
122;1973;Women;Women;800m Freestyle;Individual;Wegner;Gudrun;GDR;Europe;GDR;Gudrun Wegner (GDR);Bronze
128;1973;Women;Women;100m Butterfly;Individual;Ender;Kornelia;GDR;Europe;GDR;Kornelia Ender (GDR);Gold
129;1973;Women;Women;100m Butterfly;Individual;Kother-Gabriel;Rosemarie;GDR;Europe;GDR;Rosemarie Kother-Gabriel (GDR);Silver
130;1973;Women;Women;100m Butterfly;Individual;Aoki;Mayumi;JPN;Asia;JPN;Mayumi Aoki (JPN);Bronze
166;1973;Women;Women;200m Butterfly;Individual;Kother-Gabriel;Rosemarie;GDR;Europe;GDR;Rosemarie Kother-Gabriel (GDR);Gold
167;1973;Women;Women;200m Butterfly;Individual;Beier;Roswitha;GDR;Europe;GDR;Roswitha Beier (GDR);Silver
168;1973;Women;Women;200m Butterfly;Individual;Colella;Lynn;USA;America;USA;Lynn Colella (USA);Bronze
199;1973;Women;Women;100m Backstroke;Individual;Richter;Ulrike;GDR;Europe;GDR;Ulrike Richter (GDR);Gold
200;1973;Women;Women;100m Backstroke;Individual;Belote;Melissa;USA;America;USA;Melissa Belote (USA);Silver
201;1973;Women;Women;100m Backstroke;Individual;Cook;Wendy;CAN;America;CAN;Wendy Cook (CAN);Bronze
231;1973;Women;Women;200m Backstroke;Individual;Belote;Melissa;USA;America;USA;Melissa Belote (USA);Gold
232;1973;Women;Women;200m Backstroke;Individual;Brigitha;Enith;NED;Europe;NED;Enith Brigitha (NED);Silver
233;1973;Women;Women;200m Backstroke;Individual;Gyarmati;Andrea;HUN;Europe;HUN;Andrea Gyarmati (HUN);Bronze
263;1973;Women;Women;100m Breaststroke;Individual;Vogel;Renate;GDR;Europe;GDR;Renate Vogel (GDR);Gold
264;1973;Women;Women;100m Breaststroke;Individual;Rusanova;Lyubov;URS;Europe;URS;Lyubov Rusanova (URS);Silver
265;1973;Women;Women;100m Breaststroke;Individual;Schuchardt;Brigitte;GDR;Europe;GDR;Brigitte Schuchardt (GDR);Bronze
